status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,KMeans,0,510,IL7R,CD127,False,0.5907446142867618,0.699916774279694,0.05164220969108494,-0.034912460131154496,0.13961259138568408
PASS,KMeans,0,510,CD14,CD14,False,0.5938729120095627,0.3270422583208198,-0.005463450449030458,-0.08044162106893893,0.07057215763508917
PASS,KMeans,0,510,FCGR3A,CD16,False,0.44722473693520115,0.2484163103361436,0.28119433978062575,0.17416375336217996,0.35868657348720534
PASS,KMeans,0,510,CD19,CD19,False,0.9155861241012258,0.5911632392560203,0.03943654924135094,-0.022984322690665793,0.09918567566091464
PASS,KMeans,0,510,CD24,CD24,False,0.4803767473633413,0.3797458946686679,0.0225963138286958,-0.07725995094855971,0.11416773665074419
PASS,KMeans,0,510,IL2RA,CD25,False,0.10372146798534043,0.16822473351809827,0.0375987988252451,-0.04964925546329606,0.1207585104596633
PASS,KMeans,0,510,CD27,CD27,False,0.5924534706991395,0.5623249178914261,0.08887504969760873,-0.0039682570109911535,0.16968167848814836
PASS,KMeans,0,510,CD38,CD38,False,0.486910905677533,0.5077775220899743,0.27192283042613286,0.18961924978117697,0.3469815620235275
PASS,KMeans,0,510,CD4,CD4,False,0.6897366079383849,0.6838203775686732,0.33131891959191334,0.21535637648040298,0.4275983003404645
PASS,KMeans,0,510,CD40,CD40,False,0.7177366357455662,0.5552000802717653,0.044995395282561725,-0.05069915211072368,0.14015909681928673
PASS,KMeans,0,510,NCAM1,CD56,True,0.5951798030286413,0.32717756009943966,0.23465498478671634,0.12441508337377148,0.3215096640304764
PASS,KMeans,0,510,CD80,CD80,False,0.007377544703918138,0.011298092623480523,-0.0483960728828569,-0.13203262172483526,0.029757544886436015
PASS,KMeans,0,510,CD86,CD86,False,0.5456594950837382,0.4386387820071787,0.07615089705234657,-0.014018031626272178,0.160057830772337
PASS,KMeans,0,510,CD8A,CD8a,True,0.6565924008101172,0.635556746862925,0.2952254590696605,0.2217258234054732,0.3609065367376013
PASS,KMeans,0,510,KLRG1,KLRG1,False,0.48062069636668026,0.47436678973864205,0.2591599385399516,0.18808849299007252,0.32990917685181453
