status,method,seed,realized_K,gene,protein,prespecified,pearson_r,spearman_rho,partial_pearson_r,partial_ci_low,partial_ci_high
PASS,SEACells,2,510,IL7R,CD127,False,0.5326383126772571,0.7506108619233818,0.1001725983963655,0.006966233169192795,0.18494716923529664
PASS,SEACells,2,510,CD14,CD14,False,0.6311165399972953,0.44865312770382293,0.1566862365480973,0.05084352157957191,0.2649883262384882
PASS,SEACells,2,510,FCGR3A,CD16,False,0.5595863797587036,0.4260966007844945,0.3959574261590974,0.3096786032748181,0.4656215032967679
PASS,SEACells,2,510,CD19,CD19,False,0.8903226614797572,0.6290002029938291,0.24832932078713282,0.06578434094502572,0.4050200845546925
PASS,SEACells,2,510,CD24,CD24,False,0.4921335970683302,0.43138021586091263,0.06406023991189336,-0.046736992696675146,0.17463031065815796
PASS,SEACells,2,510,IL2RA,CD25,False,0.11460436739650634,0.21852912866701343,0.03301734214865631,-0.06738139613275952,0.13049553267089897
PASS,SEACells,2,510,CD27,CD27,False,0.6102999547018166,0.6131015654235142,0.1359141803042777,0.0363305140667996,0.2251946054418357
PASS,SEACells,2,510,CD38,CD38,False,0.5152930074432093,0.5354609810909069,0.24651956132762198,0.14509027047211878,0.33127650248262475
PASS,SEACells,2,510,CD4,CD4,False,0.6691828476168428,0.7161675020980061,0.3902603819802199,0.295592098028703,0.4796810902962278
PASS,SEACells,2,510,CD40,CD40,False,0.7056088365900389,0.6003144029681358,0.03860036850297162,-0.0388033646662697,0.11230093928481184
PASS,SEACells,2,510,NCAM1,CD56,True,0.7008708513501775,0.5127894400854841,0.36438041120510695,0.2701213070345362,0.4485542582224419
PASS,SEACells,2,510,CD80,CD80,False,0.15451714392859978,0.16015108718534032,0.07140931232639822,-0.02142258192245683,0.15565175332149922
PASS,SEACells,2,510,CD86,CD86,False,0.6390172318025267,0.5220204260272591,0.008648935700867272,-0.0876316742204064,0.1176232227659258
PASS,SEACells,2,510,CD8A,CD8a,True,0.6849075390880595,0.6979888793211383,0.3012514425175979,0.21871765342100605,0.3724320890218612
PASS,SEACells,2,510,KLRG1,KLRG1,False,0.5383707804922047,0.6102822451939897,0.2555507860999033,0.18111573988168958,0.32739245685014395
