dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,relative_abs_dot_contribution
D18,0,RNA+ATAC+ADT,RNA,32,5.672934532165527,5.672737121582031,5.689290928840637,29.306102752685547,0.9158157110214233,58.612205505371094,11.447622299194336,False,0.27564709728065
D18,0,RNA+ATAC+ADT,ATAC,32,5.682938098907471,5.687444686889648,5.7033298969268795,17.6527099609375,0.5516471862792969,35.305419921875,15.894577980041504,False,0.38272526540360485
D18,0,RNA+ATAC+ADT,ADT,32,5.714828968048096,5.717014312744141,5.742280459403991,19.157716751098633,0.5986786484718323,38.315433502197266,14.187793731689453,False,0.34162763731574514
